x,y,intensity,inclination
78.55,9.1,40.573987,-0.609815
78.55,8.1,70.788043,-0.885072
47.55,22.1,44.415439,-0.335947
40.55,21.1,60.270220,-0.883716
79.55,9.1,41.053923,-0.559170
40.55,20.1,52.172797,-0.521538
79.55,8.1,67.115288,-0.871685
31.55,7.1,38.857738,-0.347651
72.55,9.1,44.768697,-0.233833
72.55,8.1,64.050340,-0.614452
22.55,16.1,30.539641,-0.649933
22.55,17.1,19.578922,-1.077968
40.55,22.1,61.500499,-1.093782
73.55,9.1,30.460277,-0.823161
22.55,20.1,38.968297,0.069884
22.55,21.1,33.114143,0.284655
41.55,21.1,62.929519,-0.929206
73.55,8.1,59.823981,-0.712573
22.55,18.1,16.014334,-0.057356
41.55,20.1,43.280518,0.059777
22.55,19.1,16.120404,0.157997
22.55,22.1,40.170368,-0.700049
74.55,9.1,25.240768,-0.480550
74.55,8.1,51.940597,-0.841110
41.55,22.1,122.279845,-0.690503
75.55,9.1,21.801911,0.159841
42.55,21.1,53.486086,-1.076960
75.55,8.1,47.249326,-1.014742
42.55,20.1,22.347283,-0.555104
30.55,7.1,41.360418,-0.528096
68.55,9.1,24.948341,1.277626
15.55,8.1,51.853223,-0.945093
68.55,8.1,37.609038,-0.687229
15.55,9.1,45.868615,-0.763812
21.55,17.1,22.948952,-0.845574
42.55,22.1,44.201419,-1.001944
80.55,7.1,52.065335,-0.754964
21.55,21.1,33.795183,0.349611
43.55,21.1,49.223987,-1.066435
21.55,18.1,14.209774,-0.317596
43.55,20.1,15.669576,-0.863344
69.55,9.1,27.745300,1.273031
21.55,19.1,31.780235,0.377519
21.55,16.1,30.303294,-1.359917
43.55,22.1,46.114264,-0.855733
69.55,8.1,42.354211,-0.612633
81.55,7.1,48.477815,-0.376566
21.55,22.1,34.712903,-0.724400
21.55,20.1,36.004817,0.109082
65.55,7.1,52.881128,-0.257132
27.55,22.1,38.146956,-0.825559
66.55,7.1,37.956684,-0.400877
29.55,7.1,38.223520,-0.704239
67.55,7.1,38.480940,-0.584811
10.55,7.1,59.198515,-0.208586
44.55,21.1,50.115176,-0.920645
44.55,20.1,15.145870,-0.619074
44.55,22.1,60.035400,-0.751817
45.55,21.1,48.789788,-0.794466
20.55,22.1,49.795962,-0.658025
20.55,20.1,58.854767,-0.114561
20.55,21.1,40.490432,0.101063
26.55,22.1,37.213427,-0.762118
45.55,20.1,17.037740,-0.192590
45.55,22.1,51.865821,-0.611523
46.55,21.1,46.360495,-0.716232
28.55,7.1,36.657484,-1.118677
76.55,9.1,19.207157,-0.235236
46.55,20.1,18.254305,-0.039835
76.55,8.1,54.275734,-1.031863
46.55,22.1,46.129250,-0.417608
47.55,21.1,46.206341,-0.684450
77.55,9.1,31.920819,-0.621267
